MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
8.3252,41,6.9841269841,1.0238095238,322,2.5555555556,37.88,-122.23,4.526
8.3014,21,6.2381370826,0.9718804921,2401,2.1098418278,37.86,-122.22,3.585
7.2574,52,8.2881355932,1.0734463277,496,2.802259887,37.85,-122.24,3.521
5.6431,52,5.8173515982,1.0730593607,558,2.5479452055,37.85,-122.25,3.413
3.8462,52,6.2818532819,1.0810810811,565,2.1814671815,37.85,-122.25,3.422
4.0368,52,4.7616580311,1.103626943,413,2.1398963731,37.85,-122.25,2.697
3.6591,52,4.9319066148,0.9513618677,1094,2.1284046693,37.84,-122.25,2.992
3.12,52,4.7975270479,1.0618238022,1157,1.7882534776,37.84,-122.25,2.414
2.0804,42,4.2941176471,1.1176470588,1206,2.0268907563,37.84,-122.26,2.267
3.6912,52,4.9705882353,0.9901960784,1551,2.1722689076,37.84,-122.25,2.611
3.2031,52,5.4776119403,1.07960199,910,2.263681592,37.85,-122.26,2.815
3.2705,52,4.772479564,1.0245231608,1504,2.0490463215,37.85,-122.26,2.418
3.075,52,5.3226495726,1.0128205128,1098,2.3461538462,37.85,-122.26,2.135
2.6736,52,4,1.0977011494,345,1.9827586207,37.84,-122.26,1.913
1.9167,52,4.2629032258,1.0096774194,1212,1.9548387097,37.85,-122.26,1.592
2.125,50,4.2424242424,1.071969697,697,2.6401515152,37.85,-122.26,1.4
2.775,52,5.9395770393,1.0483383686,793,2.3957703927,37.85,-122.27,1.525
2.1202,52,4.0528052805,0.9669966997,648,2.1386138614,37.85,-122.27,1.555
1.9911,50,5.3436754177,1.0859188544,990,2.3627684964,37.84,-122.26,1.587
2.6033,52,5.4654545455,1.0836363636,690,2.5090909091,37.84,-122.27,1.629
1.3578,40,4.5240963855,1.1084337349,409,2.4638554217,37.85,-122.27,1.475
1.7135,42,4.4781420765,1.0027322404,929,2.5382513661,37.85,-122.27,1.598
1.725,52,5.0962343096,1.1317991632,1015,2.1234309623,37.84,-122.27,1.139
2.1806,52,5.1938461538,1.0369230769,853,2.6246153846,37.84,-122.27,0.997
2.6,52,5.2701421801,1.0355450237,1006,2.3838862559,37.84,-122.27,1.326
2.4038,41,4.4957983193,1.0336134454,317,2.6638655462,37.85,-122.28,1.075
2.4597,49,4.7280334728,1.0209205021,607,2.539748954,37.85,-122.28,0.938
1.808,52,4.7808564232,1.0604534005,1102,2.7758186398,37.85,-122.28,1.055
1.6424,50,4.4016913319,1.0401691332,1131,2.3911205074,37.84,-122.28,1.089
1.6875,52,4.7032258065,1.0322580645,395,2.5483870968,37.84,-122.28,1.32
1.9274,49,5.0687830688,1.1825396825,863,2.2830687831,37.84,-122.28,1.223
1.9615,52,4.8820861678,1.0907029478,1168,2.6485260771,37.84,-122.28,1.152
1.7969,48,5.7373134328,1.2208955224,1026,3.0626865672,37.84,-122.27,1.104
1.375,49,5.0303951368,1.1124620061,754,2.2917933131,37.83,-122.27,1.049
2.7303,51,4.9720149254,1.0708955224,1258,2.3470149254,37.83,-122.27,1.097
1.4861,49,4.6022727273,1.0681818182,570,2.1590909091,37.83,-122.27,0.972
1.0972,48,4.807486631,1.1550802139,987,2.6390374332,37.83,-122.27,1.045
1.4103,52,3.7493796526,0.9677419355,901,2.2357320099,37.83,-122.28,1.039
3.48,52,4.7572815534,1.067961165,689,2.2297734628,37.83,-122.26,1.914
2.5898,52,3.4942528736,1.0272988506,1377,1.9784482759,37.83,-122.26,1.76
2.0978,52,4.2151898734,1.0607594937,946,2.3949367089,37.83,-122.26,1.554
1.2852,51,3.7590361446,1.2489959839,517,2.0763052209,37.83,-122.26,1.5
1.025,49,3.7724867725,1.0687830688,462,2.4444444444,37.84,-122.26,1.188
3.9643,52,4.797979798,1.0202020202,467,2.3585858586,37.84,-122.26,1.888
3.0125,52,4.9417808219,1.0650684932,660,2.2602739726,37.83,-122.26,1.844
2.6768,52,4.335078534,1.0994764398,718,1.8795811518,37.83,-122.26,1.823
2.026,50,3.7006578947,1.0592105263,616,2.0263157895,37.83,-122.26,1.425
1.7348,43,3.9802371542,1.233201581,558,2.2055335968,37.82,-122.27,1.375
0.9506,40,3.9,1.21875,423,2.64375,37.82,-122.26,1.875
1.775,40,2.6875,1.0653409091,700,1.9886363636,37.82,-122.27,1.125
0.9218,21,2.0456621005,1.0342465753,735,1.6780821918,37.82,-122.27,1.719
1.5045,43,4.5896805897,1.1203931204,1061,2.6068796069,37.82,-122.27,0.938
1.1108,41,4.4736111111,1.1847222222,1959,2.7208333333,37.82,-122.27,0.975
1.2475,52,4.075,1.14,1162,2.905,37.82,-122.27,1.042
1.6098,52,5.0214592275,1.008583691,701,3.008583691,37.82,-122.28,0.875
1.4113,52,4.2954545455,1.1045454545,576,2.6181818182,37.82,-122.28,0.831
1.5057,52,4.7799227799,1.111969112,622,2.4015444015,37.82,-122.28,0.875
0.8172,52,6.1024590164,1.3729508197,728,2.9836065574,37.82,-122.28,0.853
1.2171,52,4.5625,1.1217105263,1074,3.5328947368,37.82,-122.28,0.803
2.5625,2,2.7719298246,0.7543859649,94,1.649122807,37.82,-122.29,0.6
3.3929,52,5.9946524064,1.128342246,554,2.9625668449,37.83,-122.29,0.757
6.1183,49,5.8695652174,1.2608695652,86,3.7391304348,37.82,-122.29,0.75
0.9011,50,6.2295081967,1.5573770492,377,3.0901639344,37.81,-122.29,0.861
1.191,52,7.6981132075,1.4905660377,521,3.2767295597,37.81,-122.3,0.761
2.5938,48,6.2255639098,1.3684210526,392,2.9473684211,37.81,-122.3,0.735
1.1667,52,5.4010695187,1.1176470588,604,3.2299465241,37.81,-122.3,0.784
0.8056,48,4.3825301205,1.0662650602,788,2.3734939759,37.81,-122.3,0.844
2.6094,52,6.9863945578,1.6598639456,492,3.3469387755,37.8,-122.29,0.813
1.8516,52,6.9756097561,1.3292682927,274,3.3414634146,37.81,-122.3,0.85
0.9802,46,4.5842880524,1.05400982,1823,2.9836333879,37.81,-122.29,1.292
1.7719,26,6.0472440945,1.1968503937,392,3.0866141732,37.81,-122.29,0.825
0.7286,46,3.3754512635,1.0722021661,582,2.1010830325,37.81,-122.29,0.952
1.75,49,5.5526315789,1.3421052632,560,3.6842105263,37.81,-122.29,0.75
0.4999,46,1.7142857143,0.5714285714,18,2.5714285714,37.81,-122.29,0.675
2.483,20,6.2781954887,1.2105263158,290,2.1804511278,37.81,-122.29,1.375
0.9241,17,2.8177676538,1.0523917995,762,1.7357630979,37.81,-122.28,1.775
2.4464,36,5.7249508841,1.1041257367,1236,2.4282907662,37.81,-122.28,1.021
1.1111,19,5.8309178744,1.1739130435,721,3.4830917874,37.81,-122.28,1.083
0.8026,23,5.3692307692,1.1507692308,1054,3.2430769231,37.81,-122.29,1.125
2.0114,38,4.4129032258,1.135483871,344,2.2193548387,37.8,-122.28,1.313
1.5,17,3.1972318339,1,609,2.107266436,37.81,-122.28,1.625
1.1667,52,3.75,1,183,3.2678571429,37.81,-122.27,1.125
1.5208,52,3.908045977,1.1149425287,200,2.2988505747,37.81,-122.28,1.125
0.8075,52,2.4903225806,1.0580645161,346,2.2322580645,37.81,-122.28,1.375
1.8088,35,5.6094674556,1.0887573964,467,2.7633136095,37.81,-122.28,1.188
2.4083,52,6.7217391304,1.2434782609,377,3.2782608696,37.81,-122.28,0.982
0.977,40,2.3157894737,1.1868421053,582,1.5315789474,37.81,-122.27,1.188
0.76,10,2.6515151515,1.0545454545,546,1.6545454545,37.81,-122.27,1.625
0.9722,10,2.6923076923,1.0769230769,125,3.2051282051,37.8,-122.27,1.375
1.2434,52,2.9294117647,0.9176470588,396,4.6588235294,37.8,-122.27,5.00001
2.0938,16,2.7458563536,1.0828729282,800,2.2099447514,37.8,-122.27,1.625
0.8668,52,2.4431818182,0.9886363636,904,10.2727272727,37.8,-122.28,1.375
0.75,52,2.8235294118,0.9117647059,191,5.6176470588,37.8,-122.28,1.625
2.6354,27,3.4933774834,1.1490066225,718,2.3774834437,37.79,-122.27,1.875
1.8477,39,3.6723768737,1.3340471092,1327,2.8415417559,37.8,-122.27,1.792
2.0096,36,2.2940163582,1.0662935859,3469,1.4933275936,37.8,-122.26,1.3
2.8345,31,3.8949152542,1.1279661017,2048,1.7355932203,37.82,-122.26,1.838
2.0062,29,3.6813186813,1.1758241758,202,2.2197802198,37.81,-122.26,1.25
1.2185,22,2.9456,1.016,2024,1.6192,37.82,-122.26,1.7
2.6104,37,3.7071428571,1.1071428571,1838,1.8755102041,37.82,-122.26,1.931
2.4912,29,3.7248,1.1312,2304,1.8432,37.81,-122.25,2.578
3.2177,28,3.8784235137,1.0708082832,2563,1.7120908484,37.81,-122.25,2.734
